TypeID,X,Y,Z
77825,220000000000,-140000000000,0
77826,200000000000,-150000000000,300000000000
77827,-240000000000,80000000000,-400000000000
77828,-148459353954,-52597789617,-54589785369
77829,-150000000000,300000000000,-250000000000
77830,200000000000,200000000000,200000000000
77831,50352186416,50684530070,45840620045
77832,-260000000000,250000000000,-300000000000
77833,0,-200000000000,200000000000
77834,150000000000,0,-100000000000
77835,380000000000,100000000000,180000000000
77836,50000000000,500000000000,-900000000000
77837,280000000000,0,-200000000000
77838,47055489354,-50756236048,55600587540
77839,0,-200000000000,-200000000000
77840,300000000000,-250000000000,100000000000
77841,-220000000000,-280000000000,-480000000000
77842,260000000000,-240000000000,500000000000
77843,100000000000,-150000000000,0
77844,-250000000000,300000000000,-100000000000
77845,-300000000000,-240000000000,140000000000
77846,0,100000000000,150000000000
77847,-500000000000,150000000000,-360000000000
77848,-100000000000,100000000000,0
77849,-135645178701,49353478956,-56459356399
78582,-240000000000,-180000000000,60000000000
78583,-350000000000,200000000000,-100000000000
78584,140000000000,-110000000000,300000000000
78585,-300000000000,100000000000,200000000000
78586,-140000000000,-260000000000,-120000000000
